Crime, Location, Date

PROPERTY DAMAGE , Darden Faculty Parking Lot,01-01-11

ASSIST AGENCY , 313 2nd Street SE,01-01-11

PROPERTY DAMAGE , Hospital East Garage,01-02-11

ASSIST AGENCY , UVA Hospital,01-02-11

ASSIST AGENCY , Zehmer Hall,01-03-11

LARCENY , Facilities Management Lot,01-03-11

LARCENY , 1221 Lee St,01-03-11

SUSPICIOUS CIRCUMSTANCES , MR-4 Building,01-04-11

LARCENY , McCormick Road,01-04-11

SUSPICIOUS CIRCUMSTANCES ,Chemistry Building,01-05-11

LARCENY , Millmont Street,01-05-11

TRAFFIC ACCIDENT ,McCormick Road,01-05-11

ANNOYING PHONE CALLS ,Lewis Dorm,01-05-11

ASSIST AGENCY WARRANT , UVA Hospital,01-05-11

VANDALISM,Farrish Circle Parking Lot,01-06-11

SUSPICIOUS CIRCUMSTANCES ,Chemical Engineering,01-06-11

TRAFFIC ACCIDENT ,1335 Lee Street,01-06-11

BURGLARY, MR-5 Building,01-06-11

LARCENY , Darden School of Business,01-06-11

LARCENY,UVA Hospital Expansion,01-06-11

HIT &amp; RUN,1215 Lee Street   NO PI,01-06-11

DUI , Cherry Avenue &amp; Spring Lane,01-07-11

MEDICAL ASSIST , Copeley Road,01-07-11

TRAFFIC ACCIDENT , Newcomb Road North,01-07-11

TRAFFIC ACCIDENT , Leonard Sandridge Road,01-07-11

FRAUD , Alumni Hall,01-07-11

THREATENING PHONE CALLS , UVA Hospital Admissions,01-07-11

VANDALISM , Hospital East Garage,01-07-11

SIMPLE ASSAULT , 147 Mimosa Court,01-08-11

SUSPICIOUS CIRCUMSTANCES , UVA Emergency Room,01-08-11

LARCENY , UVA Emergency Room,01-08-11

VANDALISM , 464 Lambeth Field,01-09-11

LARCENY,East Garage,01-09-11

LARCENY,UVA Emergency Room,01-09-11

VANDALISM , 252 McCormick Road,01-10-11

BURGLARY,Wilsdorf Hall,01-10-11

LARCENY , 164 Rugby Rd,01-11-11

LARCENY , 464 Lambeth Field,01-12-11

LARCENY , Maupin Dorm,01-12-11

INTIMIDATION , Primary Care Center,01-12-11

ASSIST OTHER AGENCY/TRESPASS , Medical Center Library,01-12-11

ASSIST OTHER AGENCY , 1215 Lee St,01-13-11

ASSAULT-SIMPLE , UVA Emergency Department,01-13-11

FORCIBLE FONDLING , Gilmer hall,01-14-11

BREAKING AND ENTERING , 1224 JPA,01-14-11

PROPERTY FOUND , Hospital West Complex parking lot,01-14-11

DIP , 1500 block of Gordon Ave.,01-15-11

DUI , Gordon Ave. and 16th Street SW,01-15-11

SIMPLE ASSAULT , 1215 Lee Street,01-15-11

TRAFFIC STOP AND FALSE ID , 291 McCormick Rd.,01-15-11

DIP , West Main Street,01-17-11

SUSPICIOUS CIRCUMSTANCE , 2304 Ivy Road,01-17-11

SIMPLE ASSAULT , Lee Street,01-17-11

SIMPLE ASSAULT ,UVA Hospital,01-17-11

ASSIST CITIZEN-MEDICAL , 102 Woody Dorm,01-17-11

Assist citizen,medical,01-18-11

ASSIST AGENCY , UVA Hospital,01-18-11

Assist citizen,mental,01-18-11

DIP , UVA Hospital ER Parking Lot,01-19-11

SIMPLE ASSAULT , 14th Street NW &amp; Wertland Street,01-19-11

DIP , 525 McCormick Road,01-19-11

SUSPICIOUS CIRCUMSTANCES , Echols Dorm,01-19-11

ROBBERY , 1400 University Avenue,01-19-11

THREATENING E-MAILS , Peabody Hall,01-20-11

ASSIST CITIZEN , Cauthen Dorm,01-20-11

LARCENY , 520 Edgemont Rd,01-20-11

HIT AND RUN , Lee Street Garage,01-20-11

